eax,syscall,ebx,ecx,edx,esi,edi,ebp
0,restart,,,,,,,,
338,fanotify_init,unsigned int flags,unsigned int event_f_flags,,,,,,
339,fanotify_mark,unsigned int flags __u64 mask,int dfd const char *pathname,,,,,,
340,prlimit64,pid_t pid,unsigned int resource,const struct rlimit64 *new_rlim,struct rlimit64 *old_rlim,,,,
341,name_to_handle_at,int dfd,const char *name,struct file_handle *handle,int *mnt_id,int flag,,,
342,open_by_handle_at,int mountdirfd,struct file_handle *handle,int flags,,,,,
343,clock_adjtime,const clockid_t which_clock,struct timex *utx,,,,,,
344,syncfs,int fd,,,,,,,
345,sendmmsg,int fd,struct mmsghdr *mmsg,unsigned int vlen,unsigned int flags,,,,
346,setns,int fd,int nstype,,,,,,
347,process_vm_readv,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags,,
348,process_vm_writev,pid_t pid,const struct iovec *lvec,unsigned long liovcnt,const struct iovec *rvec,unsigned long riovcnt,unsigned long flags,,
349,kcmp,pid_t pid1,pid_t pid2,int type,unsigned long idx1,unsigned long idx2,,,
